nome,genero,data_nascimento,presença_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto
FERNANDO BEZERRA DE SOUZA COELHO FILHO,M,28/02/1984,81,5,6,6,4,39,0,265195.17,32904.38,26191.67,46599.6,42640.35,22991.65,38141.86,34943.44,7902.03,1389.61,11490.58,0.0,,1087816.23,106461.21,106461.21,106461.21,106461.21,107548.75,111277.47,111277.47,110295.4,110786.15,110786.15,,,33763.0
FREDERICO BORGES DA COSTA,M,12/07/1977,83,9,0,14,1,5,0,284352.3300000001,14730.3,29479.43,41701.41,55095.45,44266.74,24177.23,21336.08,23057.48,15301.98,12687.52,2518.71,,1077826.83,110167.89,108567.01,109305.97,109305.97,109563.08,108452.71,101554.25,109006.01,107977.56,103926.38,,,33763.0
FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,M,29/05/1991,82,10,0,13,3,10,0,280703.15,39534.77,31018.4,49744.0,46765.21,50641.59,43365.67,18271.75,239.65,40.19,487.13,594.79,,938905.52,97669.43,98842.46,98853.61,101434.99,105314.69,105934.61,105601.33,88221.2,71613.4,65419.8,,,33763.0
FERNANDO MONTEIRO DE ALBUQUERQUE,M,17/09/1976,87,5,0,17,4,3,1,313976.38999999996,33166.59,36756.35,50815.63,46090.78,35207.06,35106.58,33522.18,12348.74,7355.49,22923.02,683.97,,1095114.7,111665.62,111462.42,111451.57,108833.71,111665.62,111665.62,111665.62,110146.43,102361.66,104196.43,,,33763.0
FERNANDO RODOLFO TENORIO DE VASCONCELOS,M,17/11/1983,83,4,5,17,3,51,0,295230.86,34398.75,34442.45,46954.27,61790.5,42253.99,30175.92,26376.1,10140.69,7883.19,815.0,0.0,,1015741.6599999999,110824.9,108472.48,109833.05,104726.42,110607.73,107797.77,106334.87,77927.2,90812.99,88404.25,,,33763.0
FLAVIANO FLÁVIO BAPTISTA DE MELO,M,17/11/1949,82,10,0,3,0,1,0,437655.1,34282.68,37155.36,51227.13,29713.9,79405.7,25480.53,38048.4,39592.1,55425.57,27323.73,20000.0,,1104480.6500000001,107904.83,107983.89,111367.03,111659.62,111659.62,111659.62,111659.62,110227.3,110179.56,110179.56,,,33763.0
FRANCO CARTAFINA GOMES,M,03/11/1986,86,3,3,44,4,15,0,317134.13999999996,28065.1,33009.58,43304.17,45119.68,52088.32,34699.31,22247.15,51692.11,4820.12,2088.6,0.0,,1112857.7600000002,110962.06,110962.06,110962.06,110962.06,111166.17,111568.67,111568.67,111568.67,111568.67,111568.67,,,33763.0
FLÁVIO RODRIGUES NOGUEIRA,M,27/02/1953,91,1,0,39,0,4,0,393018.11,38329.27,41835.51,39604.13,37048.37,42494.03,47068.0,42082.62,36727.61,36484.39,31344.18,0.0,,1106884.69,110937.69,110937.69,111074.66,110962.76,111467.18,111544.27,111544.27,111544.27,111544.27,105327.63,,,33763.0
FRANCISCO RODRIGUES VALE JUNIOR,M,15/03/1969,87,3,2,25,2,6,0,309142.86000000004,17093.58,30616.27,50032.21,33547.1,38718.63,30008.06,31405.2,20504.95,10000.71,26688.21,20527.94,,1076485.1,110440.58,110440.58,110440.58,110440.58,108630.41,108370.3,101304.39,105472.56,105472.56,105472.56,,,33763.0
ANTONIO RIBEIRO,M,03/03/1944,86,6,0,30,4,14,0,361093.35,40812.78,41699.11,53527.13,42212.73,53135.08,32573.14,21560.81,17788.85,19494.29,37332.36,957.07,,1106146.5199999998,110889.19,110889.19,110889.19,110313.55,109560.78,110047.86,110889.19,110889.19,110889.19,110889.19,,,33763.0
GELSON DE AZEVEDO ALMEIDA,M,10/01/1965,88,0,4,17,0,13,0,268046.24000000005,17208.87,18142.04,73589.54,23955.82,60671.3,21380.73,24088.36,10719.92,15215.86,1858.58,1215.22,,1112585.6500000001,111429.1,111429.1,111429.1,111207.7,111523.22,111580.75,111580.75,111580.75,111580.75,109244.43,,,33763.0
GENECIAS MATEUS NORONHA,M,13/03/1963,58,31,3,0,0,0,0,177557.54,6912.14,17143.52,33463.86,26327.99,19477.71,14497.11,13104.39,10260.84,26907.04,9462.94,0.0,,1012113.8199999998,92989.03,98109.44,100534.9,101430.22,99984.28,106905.63,103040.08,103040.08,103040.08,103040.08,,,33763.0
ELIÉSER GIRÃO MONTEIRO FILHO,M,08/05/1955,85,4,3,47,3,6,0,353477.47000000003,37148.25,58184.62,39315.76,43316.28,45230.05,37619.01,23969.66,26317.64,11139.62,31236.58,0.0,,1114542.85,111550.61,111550.61,111550.61,111550.61,111550.61,110587.36,111550.61,111550.61,111550.61,111550.61,,,33763.0
GERVÁSIO AGRIPINO MAIA,M,14/04/1975,81,5,6,36,5,14,0,266572.24,23330.03,37075.33,36581.92,43748.87,45588.36,26193.97,18498.45,14012.0,10194.19,11028.08,321.04,,1105894.42,111615.5,110598.88,110561.62,110298.77,109955.04,109955.04,110552.62,111283.45,110263.58,110809.92,,,33763.0
EUGENIO JOSÉ ZULIANI,M,13/01/1976,51,17,24,9,17,37,0,281317.44,35715.9,40468.18,42837.22,40713.17,63995.25,18553.55,16151.75,15973.11,2755.29,3475.52,678.5,,1080042.5199999998,111641.38,111641.38,111641.38,106897.3,106370.18,106370.18,106370.18,106370.18,106370.18,106370.18,,,33763.0
FERNANDO LÚCIO GIACOBO,M,17/12/1970,86,1,5,13,1,7,0,365841.43,27455.42,49074.18,58575.31,7832.83,52242.7,38497.82,8820.58,6333.82,4309.92,62608.85,50090.0,,1096371.61,110392.0,111089.37,110699.96,111659.53,111616.68,104856.92,111659.53,110779.99,111160.32,102457.31,,,33763.0
ROBERTO SEBASTIÃO PETERNELLI JUNIOR,M,06/08/1954,89,0,3,132,0,21,0,217684.65999999997,17011.69,44800.56,44569.19,22660.96,25933.02,28500.81,13743.54,8753.72,5423.58,6241.24,46.35,,730045.6600000001,67824.41,70484.71,70484.71,74499.52,79446.76,86394.48,95109.95,76397.8,54701.66,54701.66,,,33763.0
GILLIANO FRED NASCIMENTO CUTRIM,M,26/10/1979,76,5,11,22,4,27,0,399839.52,46898.79,47176.96,48122.54,51226.09,58582.87,18377.58,25986.45,21934.68,12000.22,69533.34,0.0,,1115308.0200000003,111301.75,111301.75,111619.5,111641.41,111641.41,111641.41,111641.41,111641.41,111641.41,111236.56,,,33763.0
GILSON MARQUES VIEIRA,M,12/04/1981,88,4,0,40,5,5,0,50883.26,3483.84,5736.09,5095.21,6494.69,11767.82,7335.78,6816.37,1383.89,3.11,2766.46,0.0,,798657.1599999999,78079.2,78079.2,78079.2,79784.92,80772.44,80772.44,80772.44,80772.44,80772.44,80772.44,,,33763.0
GILBERTO APARECIDO ABRAMO,M,06/08/1966,85,2,5,19,1,6,0,216901.65,18146.52,22003.33,27404.71,34209.75,32718.06,23558.03,15039.8,18280.76,12603.88,12846.34,90.47,,1077796.5199999998,106564.34,106564.34,107092.65,108384.08,108384.08,108384.08,107270.71,108384.08,108384.08,108384.08,,,33763.0
GILBERTO NASCIMENTO SILVA,M,09/07/1956,65,27,0,29,3,9,0,400488.82999999996,42667.83,49626.23,52149.16,48827.83,41954.56,33307.84,45287.25,30344.91,25638.8,24688.09,5996.33,,1077002.9,110917.37,111198.75,111198.75,111198.75,106097.59,109244.31,100666.68,106570.48,106570.48,103339.74,,,33763.0
GIOVANI BATISTA FELTES,M,10/04/1957,91,0,1,18,0,4,0,292295.12,32091.85,37369.29,35989.03,63623.79,29111.39,20875.74,31955.95,26391.45,5880.69,7923.74,1082.2,,1095245.2900000003,111083.28,111101.04,111544.86,109378.77,108521.73,109627.69,107747.07,108089.89,109075.48,109075.48,,,33763.0
GIOVANI CHERINI,M,23/06/1960,86,3,3,40,3,13,0,411793.6,35135.42,42357.46,49953.41,49975.7,53766.31,54876.19,39994.44,42715.35,21531.51,20310.87,1176.94,,1114323.38,111574.7,111574.7,111574.7,111574.7,111574.7,110520.47,111205.28,111574.71,111574.71,111574.71,,,33763.0
DANIEL PIRES COELHO,M,04/11/1978,91,0,1,6,0,0,0,356643.22,56899.01,47545.19,47271.2,44454.63,36128.3,30323.85,32107.75,22965.49,20599.99,18151.21,196.6,,1114987.92,111319.0,111580.81,111580.81,111580.81,111332.51,111580.82,111559.7,111471.69,111474.71,111507.06,,,33763.0
DANIEL GOMES DE ALMEIDA,M,21/01/1955,90,2,0,38,0,37,0,355283.65,58756.35,47548.42,44459.65,51389.18,32596.32,29676.29,18598.64,16188.74,14756.9,40472.41,840.75,,1116596.1,111659.61,111659.61,111659.61,111659.61,111659.61,111659.61,111659.61,111659.61,111659.61,111659.61,,,33763.0
DANIEL LUCIO DA SILVEIRA,M,25/11/1982,89,1,2,87,1,58,0,304626.80999999994,35637.58,37560.86,37098.84,37913.96,39709.62,33297.09,28745.65,27784.42,13563.62,12600.99,714.18,,1050905.67,104730.18,106558.15,108774.14,109706.94,105193.39,103433.49,86143.8,107120.36,107862.35,111382.87,,,33763.0
DANIEL COSTA DE FREITAS,M,03/04/1982,77,0,15,3,0,0,0,294909.83,38606.89,24248.4,40255.97,47999.13,45138.9,30847.1,32894.95,25917.35,4096.46,4904.68,0.0,,1099503.46,105697.03,105697.03,109243.35,110816.55,110933.95,111423.11,111423.11,111423.11,111423.11,111423.11,,,33763.0
DANIEL TRZECIAK DUARTE,M,04/11/1986,86,6,0,31,8,6,0,212359.16999999998,9307.83,15211.53,16366.04,39352.32,18241.57,20817.46,28100.3,16051.09,16840.25,32070.78,0.0,,1044495.31,105455.53,105415.99,105436.13,105982.05,108226.36,109497.39,106036.48,94998.83,99412.79,104033.76,,,33763.0
DANILO JORGE DE BARROS CABRAL,M,21/04/1967,83,3,6,8,6,22,0,272413.48,23243.32,23195.87,25003.47,45722.17,49445.71,26152.01,32469.21,12877.47,8866.71,24597.36,840.18,,1005945.6900000001,95045.26,95045.26,94090.38,98095.56,99861.52,99861.52,100443.65,100923.05,111114.04,111465.45,,,33763.0
DAVID MICHAEL DOS SANTOS MIRANDA,M,10/05/1985,66,15,11,23,4,7,0,243844.21999999997,35259.28,43349.65,32853.62,45091.15,29890.05,33147.86,10128.77,8151.54,359.02,5613.28,0.0,,937841.64,111544.37,111544.37,56799.55,64345.04,100004.66,94914.31,97663.21,102324.88,100368.27,98332.98,,,33763.0
DANRLEI DE DEUS HINTERHOLZ,M,18/04/1973,50,7,11,17,9,27,0,217902.33,,,0.0,39413.57,38636.46,43580.07,37837.68,23198.87,19647.18,15588.5,0.0,,702641.0900000001,0.0,0.0,3313.89,88602.16,92253.84,99507.11,95073.08,107705.84,108196.0,107989.17,,,33763.0
